domain_accession,n_carriers,n_species_present,n_species_absent,avoidance_score,expected_species_absent,excess_absence,poisson_binomial_p,n_clades_present,n_clades_absent,clade_avoidance_score,absent_clades,present_species,q_value,significant_q05,domain_name,description,clan_accession,clan_id
PF16881,4,4,12,0.75,13.836,-1.836,0.9871468716832692,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,LIAS_N,N-terminal domain of lipoyl synthase of Radical_SAM family,,
PF00303,4,4,12,0.75,13.862,-1.862,0.9869838410790296,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,Thymidylat_synt,Thymidylate synthase,,
PF01139,4,4,12,0.75,13.865,-1.865,0.9872414549795653,3,4,0.5714,Laverania (ape); avian; primate (human); primate (simian),Plasmodium berghei; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium yoelii,0.9999590328186712,False,RtcB,tRNA-splicing ligase RtcB,,
PF01226,5,5,11,0.6875,13.516,-2.516,0.9962030360769831,3,4,0.5714,Laverania (ape); avian; primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium vivax,0.9999590328186712,False,Form_Nir_trans,Formate/nitrite transporter,CL0716,Aquaporin-like
PF00186,5,5,11,0.6875,13.575,-2.575,0.9965235934053776,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium vinckei; Plasmodium vivax,0.9999590328186712,False,DHFR_1,Dihydrofolate reductase,CL0387,DHFred
PF00032,5,5,11,0.6875,13.577,-2.577,0.9965564165074717,4,3,0.4286,"Laverania (ape); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium vivax,0.9999590328186712,False,Cytochrom_B_C,Cytochrome b(C-terminal)/b6/petD,,
PF00033,5,5,11,0.6875,13.577,-2.577,0.9965564165074717,4,3,0.4286,"Laverania (ape); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium vivax,0.9999590328186712,False,Cytochrome_B,Cytochrome b/b6/petB,CL0328,2heme_cytochrom
PF05019,5,5,11,0.6875,13.58,-2.58,0.9969207203200114,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,Coq4,Coenzyme Q (ubiquinone) biosynthesis protein Coq4,,
PF00838,5,5,11,0.6875,13.602,-2.602,0.9968929479844592,3,4,0.5714,Laverania (ape); avian; primate (human); primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium yoelii,0.9999590328186712,False,TCTP,Translationally controlled tumour protein,CL0080,Beta-tent
PF05879,5,5,11,0.6875,13.61,-2.61,0.9969012885551619,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0.9999590328186712,False,RHD3_GTPase,Root hair defective 3 GTP-binding protein (RHD3) GTPase domain,CL0023,P-loop_NTPase
PF05093,5,5,11,0.6875,13.629,-2.629,0.9969746360364737,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,CIAPIN1,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis",,
PF08627,8,6,10,0.625,12.899,-2.899,0.9973880603409221,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,CRT-like,"CRT-like, chloroquine-resistance transporter-like",CL0184,DMT
PF00709,7,6,10,0.625,13.133,-3.133,0.9986958658043116,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,Adenylsucc_synt,Adenylosuccinate synthetase,CL0023,P-loop_NTPase
PF00752,7,6,10,0.625,13.133,-3.133,0.9986958658043116,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,XPG_N,XPG N-terminal domain,CL0280,PIN
PF00867,7,6,10,0.625,13.133,-3.133,0.9986958658043116,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,XPG_I,XPG I-region,CL0464,5_3_exonuc_C
PF00962,6,6,10,0.625,13.331,-3.331,0.9993644388164902,6,1,0.1429,Laverania (ape),Plasmodium berghei; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium knowlesi; Plasmodium vivax,0.9999590328186712,False,A_deaminase,Adenosine deaminase,CL0036,TIM_barrel
PF00318,6,6,10,0.625,13.384,-3.384,0.9994405674056315,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,Ribosomal_S2,Ribosomal protein S2,CL0067,SIS
PF02374,6,6,10,0.625,13.384,-3.384,0.9994405674056315,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,ArsA_ATPase,Anion-transporting ATPase,CL0023,P-loop_NTPase
PF06220,6,6,10,0.625,13.384,-3.384,0.9994405674056315,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,zf-U1,U1 zinc finger,CL0361,C2H2-zf
PF00090,24,10,6,0.375,10.648,-4.648,0.9999590328186712,6,1,0.1429,avian,Plasmodium berghei; Plasmodium brasilianum; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium malariae; Plasmodium reichenowi; Plasmodium simium; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,TSP_1,Thrombospondin type 1 domain,CL0692,TSP1
