domain_accession,n_carriers,n_species_present,n_species_absent,avoidance_score,expected_species_absent,excess_absence,poisson_binomial_p,n_clades_present,n_clades_absent,clade_avoidance_score,absent_clades,present_species,q_value,significant_q05,domain_name,description,clan_accession,clan_id
PF02747,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,PCNA_C,"Proliferating cell nuclear antigen, C-terminal domain",CL0060,DNA_clamp
PF04997,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,RNA_pol_Rpb1_1,"RNA polymerase Rpb1, domain 1",,
PF04998,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,RNA_pol_Rpb1_5,"RNA polymerase Rpb1, domain 5",,
PF05403,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,Plasmodium_HRP,Plasmodium histidine-rich protein (HRPII/III),,
PF17986,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,EKAL,EMP3-KAHRP-like N-terminal domain,,
PF18513,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,Pro_sub2,Prodomain subtilisin 2,CL0570,PPP-I
PF22808,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,RhopH3_C,RhopH3 C-terminal domain,,
PF12361,3,2,14,0.875,14.127,-0.127,0.7933773773494835,2,5,0.7143,Laverania (ape); Laverania (human); avian; primate (simian); rodent,Plasmodium knowlesi; Plasmodium vivax,0.9999590328186712,False,DBP,Duffy-antigen binding protein ,,
PF00076,3,2,14,0.875,14.201,-0.201,0.7883948646175305,2,5,0.7143,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,RRM_1,RNA recognition motif,CL0221,RRM
PF01048,3,2,14,0.875,14.201,-0.201,0.7883948646175305,2,5,0.7143,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,PNP_UDP_1,Phosphorylase superfamily,CL0408,PUP
PF00056,3,2,14,0.875,14.219,-0.219,0.8171104636979155,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,Ldh_1_N,"lactate/malate dehydrogenase, NAD binding domain",CL0063,NADP_Rossmann
PF02866,3,2,14,0.875,14.219,-0.219,0.8171104636979155,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,Ldh_1_C,"lactate/malate dehydrogenase, alpha/beta C-terminal domain",CL0341,LDH_C
PF00211,3,2,14,0.875,14.239,-0.239,0.7987440555487333,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,Guanylate_cyc,Adenylate and Guanylate cyclase catalytic domain,CL0276,Nucleot_cyclase
PF00235,3,2,14,0.875,14.239,-0.239,0.7987440555487333,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,Profilin,Profilin,CL0431,PF
PF01458,3,2,14,0.875,14.239,-0.239,0.7987440555487333,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,SUFBD_core,"SUF system FeS cluster assembly, SufBD core domain",,
